"Name","Angle","Shift_X","Shift_Y","IoU"
"helpful-valley-29","-0.5","40","0","0.697"
"genial-cosmos-28","-0.5","30","60","0.708"
"deep-flower-27","-0.5","30","50","0.704"
"zany-snowball-26","-0.5","30","40","0.71"
"chocolate-violet-25","-0.5","30","30","0.702"
"happy-sponge-24","-0.5","30","20","0.705"
"silver-energy-23","-0.5","30","10","0.702"
"eager-waterfall-22","-0.5","30","0","0.696"
"misunderstood-hill-21","-0.5","20","60","0.709"
"major-fire-20","-0.5","20","50","0.705"
"efficient-monkey-19","-0.5","20","40","0.71"
"smart-flower-18","-0.5","20","30","0.704"
"hardy-river-17","-0.5","20","20","0.703"
"divine-terrain-16","-0.5","20","10","0.702"
"clean-pyramid-15","-0.5","20","0","0.698"
"denim-dust-14","-0.5","10","60","0.707"
"gentle-mountain-13","-0.5","10","50","0.704"
"golden-haze-12","-0.5","10","40","0.707"
"usual-dawn-11","-0.5","10","30","0.703"
"dainty-plasma-10","-0.5","10","20","0.703"
"revived-frost-9","-0.5","10","10","0.702"
"dainty-surf-8","-0.5","10","0","0.695"
"upbeat-pond-7","-0.5","0","60","0.708"
"helpful-river-6","-0.5","0","50","0.706"
"volcanic-breeze-5","-0.5","0","40","0.71"
"exalted-plant-4","-0.5","0","30","0.703"
"copper-sponge-3","-0.5","0","20","0.705"
"solar-galaxy-2","-0.5","0","10","0.703"
"icy-brook-1","-0.5","0","0","0.696"
