"Angle","Shift_X","Shift_Y","mIoU"
"-0.45","-80","-40","0.828"
"-0.45","-80","-20","0.825"
"-0.45","-80","0","0.828"
"-0.45","-80","20","0.829"
"-0.45","-80","40","0.827"
"-0.45","-80","60","0.821"
"-0.45","-80","80","0.827"
"-0.45","-60","-80","0.825"
"-0.45","-60","-60","0.825"
"-0.45","-60","-40","0.828"
"-0.45","-60","-20","0.824"
"-0.45","-60","0","0.827"
"-0.45","-60","20","0.826"
"-0.45","-60","40","0.827"
"-0.45","-60","60","0.823"
"-0.45","-60","80","0.827"
"-0.45","-40","-80","0.822"
"-0.45","-40","-60","0.822"
"-0.45","-40","-40","0.823"
"-0.45","-40","-20","0.82"
"-0.45","-40","0","0.822"
"-0.45","-40","20","0.818"
"-0.45","-40","40","0.82"
"-0.45","-40","60","0.817"
"-0.45","-40","80","0.82"
"-0.45","-20","-80","0.821"
"-0.45","-20","-60","0.821"
"-0.45","-20","-40","0.822"
"-0.45","-20","-20","0.818"
"-0.45","-20","0","0.823"
"-0.45","-20","20","0.819"
"-0.45","-20","40","0.819"
"-0.45","-20","60","0.817"
"-0.45","-20","80","0.822"
"-0.45","0","-80","0.818"
"-0.45","0","-60","0.818"
"-0.45","0","-40","0.82"
"-0.45","0","-20","0.817"
"-0.45","0","0","0.821"
"-0.45","0","20","0.819"
"-0.45","0","40","0.819"
"-0.45","0","60","0.816"
"-0.45","0","80","0.822"
"-0.45","20","-80","0.817"
"-0.45","20","-60","0.816"
"-0.45","20","-40","0.821"
"-0.45","20","-20","0.817"
"-0.45","20","0","0.819"
"-0.45","20","20","0.818"
"-0.45","20","40","0.818"
"-0.45","20","60","0.816"
"-0.45","20","80","0.818"
"-0.45","40","-80","0.818"
"-0.45","40","-60","0.818"
"-0.45","40","-40","0.821"
"-0.45","40","-20","0.818"
"-0.45","40","0","0.819"
"-0.45","40","20","0.815"
"-0.45","40","40","0.816"
"-0.45","40","60","0.814"
"-0.45","40","80","0.817"
"-0.45","60","-80","0.818"
"-0.45","60","-60","0.818"
"-0.45","60","-40","0.819"
"-0.45","60","-20","0.816"
"-0.45","60","0","0.82"
"-0.45","60","20","0.817"
"-0.45","60","40","0.817"
"-0.45","60","60","0.816"
"-0.45","60","80","0.82"
"-0.45","80","-80","0.818"
"-0.45","80","-60","0.82"
"-0.45","80","-40","0.82"
"-0.45","80","-20","0.819"
"-0.45","80","0","0.82"
"-0.45","80","20","0.821"
"-0.45","80","40","0.818"
"-0.45","80","60","0.82"
"-0.45","80","80","0.822"
"-0.4","-80","-80","0.832"
"-0.4","-80","-60","0.827"
"-0.4","-80","-40","0.833"
"-0.4","-80","-20","0.83"
"-0.4","-80","0","0.833"
"-0.4","-80","20","0.829"
"-0.4","-80","40","0.831"
"-0.4","-80","60","0.829"
"-0.4","-80","80","0.833"
"-0.4","-60","-80","0.832"
"-0.4","-60","-60","0.829"
"-0.4","-60","-40","0.832"
"-0.4","-60","-20","0.829"
"-0.4","-60","0","0.831"
"-0.4","-60","20","0.83"
"-0.4","-60","40","0.828"
"-0.4","-60","60","0.827"
"-0.4","-60","80","0.829"
"-0.4","-40","-80","0.826"
"-0.4","-40","-60","0.823"
"-0.4","-40","-40","0.826"
"-0.4","-40","-20","0.824"
"-0.4","-40","0","0.827"
"-0.4","-40","20","0.824"
"-0.4","-40","40","0.824"
"-0.4","-40","60","0.823"
"-0.4","-40","80","0.826"
"-0.4","-20","-80","0.823"
"-0.4","-20","-60","0.823"
"-0.4","-20","-40","0.823"
"-0.4","-20","-20","0.822"
"-0.4","-20","0","0.821"
"-0.4","-20","20","0.822"
"-0.4","-20","40","0.822"
"-0.4","-20","60","0.821"
"-0.4","-20","80","0.822"
"-0.4","0","-80","0.824"
"-0.4","0","-60","0.822"
"-0.4","0","-40","0.824"
"-0.4","0","-20","0.823"
"-0.4","0","0","0.826"
"-0.4","0","20","0.824"
"-0.4","0","40","0.822"
"-0.4","0","60","0.822"
"-0.4","0","80","0.826"
"-0.4","20","-80","0.824"
"-0.4","20","-60","0.823"
"-0.4","20","-40","0.824"
"-0.4","20","-20","0.823"
"-0.4","20","0","0.824"
"-0.4","20","20","0.822"
"-0.4","20","40","0.821"
"-0.4","20","60","0.821"
"-0.4","20","80","0.823"
"-0.4","40","-80","0.824"
"-0.4","40","-60","0.819"
"-0.4","40","-40","0.825"
"-0.4","40","-20","0.822"
"-0.4","40","0","0.824"
"-0.4","40","20","0.82"
"-0.4","40","40","0.822"
"-0.4","40","60","0.821"
"-0.4","40","80","0.825"
"-0.4","60","-80","0.822"
"-0.4","60","-60","0.821"
"-0.4","60","-40","0.822"
"-0.4","60","-20","0.821"
"-0.4","60","0","0.82"
"-0.4","60","20","0.822"
"-0.4","60","40","0.821"
"-0.4","60","60","0.822"
"-0.4","60","80","0.823"
"-0.4","80","-80","0.823"
"-0.4","80","-60","0.822"
"-0.4","80","-40","0.824"
"-0.4","80","-20","0.822"
"-0.4","80","0","0.825"
"-0.4","80","20","0.823"
"-0.4","80","40","0.823"
"-0.4","80","60","0.824"
"-0.4","80","80","0.827"
"-0.35","-80","-80","0.829"
"-0.35","-80","-60","0.828"
"-0.35","-80","-40","0.831"
"-0.35","-80","-20","0.828"
"-0.35","-80","0","0.831"
"-0.35","-80","20","0.829"
"-0.35","-80","40","0.828"
"-0.35","-80","60","0.826"
"-0.35","-80","80","0.831"
"-0.35","-60","-80","0.831"
"-0.35","-60","-60","0.833"
"-0.35","-60","-40","0.833"
"-0.35","-60","-20","0.828"
"-0.35","-60","0","0.831"
"-0.35","-60","20","0.834"
"-0.35","-60","40","0.831"
"-0.35","-60","60","0.829"
"-0.35","-60","80","0.831"
"-0.35","-40","-80","0.828"
"-0.35","-40","-60","0.83"
"-0.35","-40","-40","0.831"
"-0.35","-40","-20","0.827"
"-0.35","-40","0","0.827"
"-0.35","-40","20","0.827"
"-0.35","-40","40","0.83"
"-0.35","-40","60","0.826"
"-0.35","-40","80","0.827"
"-0.35","-20","-80","0.826"
"-0.35","-20","-60","0.827"
"-0.35","-20","-40","0.828"
"-0.35","-20","-20","0.825"
"-0.35","-20","0","0.826"
"-0.35","-20","20","0.828"
"-0.35","-20","40","0.825"
"-0.35","-20","60","0.823"
"-0.35","-20","80","0.824"
"-0.35","0","-80","0.823"
"-0.35","0","-60","0.823"
"-0.35","0","-40","0.823"
"-0.35","0","-20","0.823"
"-0.35","0","0","0.825"
"-0.35","0","20","0.824"
"-0.35","0","40","0.822"
"-0.35","0","60","0.821"
"-0.35","0","80","0.825"
"-0.35","20","-80","0.824"
"-0.35","20","-60","0.825"
"-0.35","20","-40","0.826"
"-0.35","20","-20","0.822"
