"Name","Runtime","Notes","Tags","copy_dropout","decay_rate","decay_steps","lambda_L1","lambda_L2","lambda_tv","learning_rate","num_iter","num_samples","optimizer","use_BTV","avg_standard_iou","avg_aug_SR_iou"
"glorious-sweep-47","1369","-","","0.30000000000000004","0.35000000000000003","80","0.8207171274165728","0.8243820401498729","0.4648762795092899","0.1","400","500","adam","false","0.8724168970462777","0.8754704995325936"
"rare-sweep-7","1538","-","","0.30000000000000004","0.25","40","0.8574002498366678","0.07954999849124256","0.41798989859057034","0.1","500","500","adam","false","0.8724168970462777","0.8752400178764399"
"smart-sweep-85","1586","-","","0.1","0.7000000000000001","80","0.9450147422948454","0.3605022674150362","0.3804971648351385","0.01","400","500","adam","false","0.8724168970462777","0.8752116999494232"
"hearty-sweep-103","1403","-","","0.2","0.35000000000000003","60","0.7862585493504797","0.9568290594746872","0.24425772865553763","0.01","400","500","adam","false","0.8724168970462777","0.8750341738716072"
"misty-sweep-72","1866","-","","0.30000000000000004","0.35000000000000003","40","0.6520537505983588","0.1669703670005288","0.7314349085830085","0.001","600","500","adam","false","0.8724168970462777","0.8746960558217863"
"electric-sweep-58","2579","-","","0","0.25","80","0.005572701550566439","0.9155792092864016","0.7304111837441223","0.01","300","500","adagrad","true","0.8724168970462777","0.8740006435337913"
"vital-sweep-32","1200","-","","0.1","0.1","80","0.8604564396925","0.7268281867666134","0.5759997685623183","0.001","300","500","adam","false","0.8724168970462777","0.8739150584010635"
"solar-sweep-99","2157","-","","0.1","0.05","80","0.04468902301165956","0.9743383206770588","0.4386247864431617","0.001","600","500","adam","false","0.8724168970462777","0.8737861630888302"
"rich-sweep-43","1462","-","","0.2","0.15000000000000002","60","0.08794161116632582","0.4519201322193443","0.276560056863849","0.001","400","500","adam","false","0.8724168970462777","0.8736510421176739"
"dutiful-sweep-15","4054","-","","0.1","0","40","0.9051318240897456","0.47484002685190263","0.9152918041450008","0.001","500","500","adagrad","true","0.8724168970462777","0.8734421483751946"
"sparkling-sweep-53","1245","-","","0.2","0.15000000000000002","40","0.46973482087465657","0.8275548280432078","0.8714479738937236","0.001","300","500","adam","false","0.8724168970462777","0.8734303046341029"
"tough-sweep-3","1513","-","","0.1","0.45","20","0.099218182637147","0.6739322115633948","0.9668216253359846","0.001","400","500","adagrad","false","0.8724168970462777","0.8733240098386127"
"laced-sweep-18","1638","-","","0.4","0.75","100","0.6125871675204799","0.7367685755499894","0.038219912785456","0.1","600","500","adam","false","0.8724168970462777","0.8732848434909827"
"sweepy-sweep-34","1844","-","","0.1","0.6000000000000001","80","0.22851779123705176","0.4151302680046367","0.6590753633286168","0.0001","500","500","adam","false","0.8724168970462777","0.8732805388462058"
"dark-sweep-9","2473","-","","0.2","0.9","80","0.7337303886456282","0.053815109475309875","0.7061883621961481","0.0001","300","500","adam","true","0.8724168970462777","0.8732635618728426"
"sweet-sweep-26","1940","-","","0","0.55","40","0.4786870305723968","0.6212739268444669","0.6020786535826415","0.1","500","500","adadelta","false","0.8724168970462777","0.873092956382992"
"misty-sweep-24","2286","-","","0.4","0.8","40","0.3146845720163698","0.552716648600724","0.6356500227803913","0.0001","300","500","adam","true","0.8724168970462777","0.873079831606841"
"exalted-sweep-27","3304","-","","0.1","0.6000000000000001","40","0.8694265185057756","0.7780444092646461","0.17868749057462818","0.0001","400","500","adam","true","0.8724168970462777","0.873014607995315"
"swept-sweep-28","1269","-","","0.30000000000000004","0.7000000000000001","40","0.2432673710119394","0.930747372298762","0.5166347855750186","0.01","400","500","adadelta","false","0.8724168970462777","0.872985449678015"
"charmed-sweep-14","2150","-","","0.1","0.05","100","0.29761335317695825","0.30160483101452895","0.2627158565375285","0.0001","600","500","adadelta","false","0.8724168970462777","0.8729647781697787"
"lunar-sweep-17","3813","-","","0.2","0.55","20","0.2992673205108015","0.727330450479969","0.3261980694754024","0.001","500","500","adagrad","true","0.8724168970462777","0.8729362769170784"
"fragrant-sweep-22","3523","-","","0.4","0.2","60","0.4118430160018889","0.883601335383126","0.8524657898891896","0.0001","500","500","adagrad","true","0.8724168970462777","0.8729331138758077"
"denim-sweep-1","1698","-","","0.4","0.15000000000000002","20","0.761335239453488","0.17592429682332555","0.09831972316101144","0.01","600","500","adagrad","false","0.8724168970462777","0.8729230604572583"
"dauntless-sweep-11","2274","-","","0","0.55","60","0.8580006126584038","0.38891164891203434","0.4664082116364866","0.001","600","500","adadelta","false","0.8724168970462777","0.8728740908750234"
"olive-sweep-13","1109","-","","0.2","0.8","60","0.4835251139488416","0.5367673877606545","0.6596566911210102","0.01","300","500","adadelta","false","0.8724168970462777","0.8728702795350094"
"crisp-sweep-8","4782","-","","0.1","0.55","40","0.8676552530091547","0.08266754817841093","0.34884760037100626","0.0001","600","500","adam","true","0.8724168970462777","0.8728620375440194"
"comic-sweep-16","3731","-","","0.30000000000000004","0.4","80","0.37829761898146086","0.7435545011423924","0.15508669000956","0.1","500","500","adadelta","true","0.8724168970462777","0.8728612096972416"
"elated-sweep-19","1159","-","","0.4","0.25","40","0.3842973117512585","0.18036447763222008","0.634221671495676","0.001","400","500","adadelta","false","0.8724168970462777","0.8728497084276026"
"effortless-sweep-23","1780","-","","0.30000000000000004","0.6000000000000001","40","0.3218079018576432","0.012236988951404015","0.1897751288631679","0.0001","600","500","adadelta","false","0.8724168970462777","0.8726917310580603"
